date,code,open,close,high,low,vol,amount,up_count,down_count,date_stamp,volume
2019-07-31,000300,3856.75,3835.36,3856.75,3830.09,821511.0,111083896832.0,75,218,1564502400.0,821511.0
2019-08-01,000300,3819.32,3803.47,3831.26,3791.55,841141.0,117649162240.0,51,237,1564588800.0,841141.0
2019-08-02,000300,3729.13,3747.44,3754.53,3720.06,1083359.0,141874790400.0,38,257,1564675200.0,1083359.0
2019-08-05,000300,3724.41,3675.69,3739.5,3675.69,1013259.0,133061099520.0,20,275,1564934400.0,1013259.0
2019-08-06,000300,3609.11,3636.33,3649.9,3575.86,1298338.0,167267483648.0,61,239,1565020800.0,1298338.0
2019-08-07,000300,3654.63,3621.43,3659.08,3621.43,842387.0,108667666432.0,91,191,1565107200.0,842387.0
2019-08-08,000300,3651.36,3669.29,3675.46,3646.94,884577.0,114981617664.0,242,53,1565193600.0,884577.0
2019-08-09,000300,3686.75,3633.53,3689.18,3628.12,852955.0,116355686400.0,51,237,1565280000.0,852955.0
2019-08-12,000300,3647.87,3699.1,3699.1,3643.32,820830.0,121129345024.0,267,27,1565539200.0,820830.0
2019-08-13,000300,3675.59,3665.75,3686.43,3658.01,765003.0,103764320256.0,67,220,1565625600.0,765003.0
2019-08-14,000300,3712.07,3682.4,3717.56,3680.61,912025.0,128301670400.0,187,83,1565712000.0,912025.0
2019-08-15,000300,3618.01,3694.0,3694.3,3612.11,885988.0,119241080832.0,137,145,1565798400.0,885988.0
2019-08-16,000300,3697.94,3710.54,3738.1,3687.08,883191.0,132696907776.0,159,114,1565884800.0,883191.0
2019-08-19,000300,3736.03,3791.09,3791.09,3720.69,1393270.0,195448946688.0,276,21,1566144000.0,1393270.0
2019-08-20,000300,3786.03,3787.73,3799.9,3778.73,1086020.0,149115338752.0,110,176,1566230400.0,1086020.0
2019-08-21,000300,3778.31,3781.76,3792.6,3775.45,822998.0,121688506368.0,89,199,1566316800.0,822998.0
2019-08-22,000300,3793.86,3793.51,3797.33,3771.2,858077.0,120708136960.0,137,140,1566403200.0,858077.0
2019-08-23,000300,3796.88,3820.86,3829.36,3788.03,879545.0,137802153984.0,131,151,1566489600.0,879545.0
2019-08-26,000300,3756.36,3765.91,3778.87,3753.16,938592.0,142350991360.0,58,238,1566748800.0,938592.0
2019-08-27,000300,3791.46,3816.95,3848.24,3790.87,1247314.0,181748776960.0,260,33,1566835200.0,1247314.0
2019-08-28,000300,3818.81,3802.58,3822.59,3790.14,887508.0,137667280896.0,110,173,1566921600.0,887508.0
2019-08-29,000300,3805.49,3790.19,3808.6,3774.4,840833.0,126475673600.0,94,194,1567008000.0,840833.0
2019-08-30,000300,3816.68,3799.59,3828.97,3778.92,966951.0,152408670208.0,95,192,1567094400.0,966951.0
2019-09-02,000300,3803.69,3848.32,3855.78,3799.82,1102893.0,164994465792.0,264,33,1567353600.0,1102893.0
2019-09-03,000300,3852.58,3853.61,3856.68,3833.76,977146.0,146270633984.0,142,140,1567440000.0,977146.0
2019-09-04,000300,3848.65,3886.0,3886.0,3846.42,1266286.0,176839737344.0,222,71,1567526400.0,1266286.0
2019-09-05,000300,3909.21,3925.32,3970.0,3909.21,1816562.0,244681228288.0,226,72,1567612800.0,1816562.0
2019-09-06,000300,3946.69,3948.51,3948.54,3922.34,1218823.0,181718269952.0,194,90,1567699200.0,1218823.0
2019-09-09,000300,3980.96,3972.95,3985.24,3954.88,1468097.0,209545379840.0,238,53,1567958400.0,1468097.0
2019-09-10,000300,3976.87,3959.27,3976.92,3938.74,1308893.0,184494342144.0,113,168,1568044800.0,1308893.0
2019-09-11,000300,3969.68,3930.1,3971.22,3922.95,1315948.0,190165008384.0,106,175,1568131200.0,1315948.0
2019-09-12,000300,3944.69,3972.38,3975.93,3933.44,1102412.0,156750659584.0,219,66,1568217600.0,1102412.0
2019-09-16,000300,3981.36,3957.72,3982.2,3943.37,1102598.0,154736558080.0,106,174,1568563200.0,1102598.0
2019-09-17,000300,3947.16,3891.22,3947.16,3879.49,1136943.0,154899300352.0,22,276,1568649600.0,1136943.0
2019-09-18,000300,3902.99,3910.08,3923.15,3902.51,820561.0,130159558656.0,141,139,1568736000.0,820561.0
2019-09-19,000300,3923.96,3924.38,3924.38,3897.07,859842.0,127421792256.0,198,86,1568822400.0,859842.0
2019-09-20,000300,3933.46,3935.65,3942.22,3921.41,1034559.0,153162596352.0,150,128,1568908800.0,1034559.0
2019-09-23,000300,3925.19,3890.66,3925.19,3868.21,940362.0,139223498752.0,42,255,1569168000.0,940362.0
2019-09-24,000300,3895.87,3901.08,3927.01,3886.14,877832.0,142341406720.0,133,142,1569254400.0,877832.0
2019-09-25,000300,3887.55,3870.98,3889.84,3867.23,895208.0,133224464384.0,57,238,1569340800.0,895208.0
2019-09-26,000300,3884.7,3841.14,3890.75,3840.25,1026983.0,150806757376.0,64,230,1569427200.0,1026983.0
2019-09-27,000300,3843.46,3852.65,3859.5,3832.25,740039.0,109130481664.0,162,118,1569513600.0,740039.0
2019-09-30,000300,3842.07,3814.53,3857.23,3813.55,659313.0,100487274496.0,63,228,1569772800.0,659313.0
2019-10-08,000300,3818.59,3837.68,3861.64,3818.59,766578.0,118365683712.0,143,145,1570464000.0,766578.0
2019-10-09,000300,3822.61,3843.24,3845.34,3805.07,758545.0,112406208512.0,190,97,1570550400.0,758545.0
2019-10-10,000300,3838.49,3874.64,3877.14,3829.43,792226.0,127474040832.0,227,55,1570636800.0,792226.0
